Country,ISO2,ISO3,OMNIARegion,ZijieRegion,Metric,Unit,OMNIA2019_kt,BGSRecordPresent,BGS_Country,EstimatedYears,BGSNotes,AlignmentFactor_vs_old_2025,HistoricalSource2019,HistoricalSource2020_2024,ProjectionMethod2025_2050,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Congo,CG,COG,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,BF,BFA,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,CV,CPV,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,CF,CAF,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,TD,TCD,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,GQ,GNQ,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GM,GMB,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,GN,GIN,AFW,Other main producer,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,GW,GNB,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,LR,LBR,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
